[run number];breeding-habitat-number;feeding-habitat-number;percent-specialized-bees;breeding-habitat-size;max-distance-breed;max-distance-feed;feeding-habitat-size;bee-number;min-distance-breed;min-distance-feed;[step];count specialized-bees;count bees - count specialized-bees;count bees;count crops;count wildflowers;count flowers with [color = cyan];count flowers;sum [seeds] of crops;count agriculture;count feeding-habitat;count breeding-habitat
1142;3;3;0.5;5;1;1;1;10;1;5;2199;0;1;1;25202;30;30;25232;65;2523;3;75
1143;3;3;0.5;5;1;1;1;10;1;5;2199;0;3;3;25210;30;30;25240;211;2523;3;75
1145;3;3;0.5;5;1;1;1;10;3;1;2199;0;5;5;25225;20;20;25245;366;2524;2;75
1144;3;3;0.5;5;1;1;1;10;3;1;2199;0;6;6;25210;30;27;25240;424;2523;3;75
1146;3;3;0.5;5;1;1;1;10;3;1;2199;0;3;3;25212;30;30;25242;219;2523;3;75
1133;3;3;0.5;3;1;1;5;10;5;5;2199;46;95;141;24958;743;727;25701;6639;2499;75;27
1147;3;3;0.5;5;1;1;1;10;3;3;2199;0;5;5;25214;27;27;25241;336;2523;3;75
1132;3;3;0.5;3;1;1;5;10;5;5;2199;43;113;156;24968;750;728;25718;8162;2499;75;27
1129;3;3;0.5;3;1;1;5;10;5;3;2199;63;128;191;24976;750;701;25726;8816;2499;75;27
1150;3;3;0.5;5;1;1;1;10;3;5;2199;0;2;2;25208;30;29;25238;159;2523;3;75
1148;3;3;0.5;5;1;1;1;10;3;3;2199;0;3;3;25192;29;22;25221;212;2523;3;75
1149;3;3;0.5;5;1;1;1;10;3;3;2199;0;6;6;25213;20;15;25233;426;2523;3;75
1152;3;3;0.5;5;1;1;1;10;3;5;2199;0;3;3;25214;20;20;25234;214;2523;3;75
1153;3;3;0.5;5;1;1;1;10;5;1;2199;0;4;4;25205;30;30;25235;306;2523;3;75
1151;3;3;0.5;5;1;1;1;10;3;5;2199;0;11;11;25213;30;27;25243;779;2523;3;75
1134;3;3;0.5;3;1;1;5;10;5;5;2199;53;98;151;24963;750;721;25713;6819;2499;75;27
1155;3;3;0.5;5;1;1;1;10;5;1;2199;0;4;4;25205;30;30;25235;266;2523;3;75
1154;3;3;0.5;5;1;1;1;10;5;1;2199;0;4;4;25215;30;19;25245;282;2523;3;75
1157;3;3;0.5;5;1;1;1;10;5;3;2199;0;3;3;25220;30;28;25250;194;2523;3;75
1156;3;3;0.5;5;1;1;1;10;5;3;2199;0;4;4;25202;23;16;25225;306;2523;3;75
1159;3;3;0.5;5;1;1;1;10;5;5;2199;0;3;3;25220;10;10;25230;207;2523;3;75
1158;3;3;0.5;5;1;1;1;10;5;3;2199;0;5;5;25211;20;11;25231;336;2524;2;75
1160;3;3;0.5;5;1;1;1;10;5;5;2199;0;3;3;25200;18;18;25218;213;2523;3;75
